language,model_level,prior_regime,threshold_mode,n_participants,n_verbs,n_items_per_cell,beta_semantics,beta_active_interaction,beta_pseudo_interaction,has_pseudo_passive,iter,warmup,chains,seed,include_gender,beta_gender
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1001,FALSE,0
English,L5_correlated_maximal,primary,broad,40,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1002,FALSE,0
English,L5_correlated_maximal,primary,broad,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1003,FALSE,0
English,L5_correlated_maximal,primary,broad,60,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1004,FALSE,0
English,L5_correlated_maximal,primary,broad,30,30,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1005,FALSE,0
English,L5_correlated_maximal,primary,broad,40,30,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1006,FALSE,0
English,L5_correlated_maximal,primary,ceiling_calibrated,30,20,1,0.8,-0.5,-0.2,TRUE,5000,2000,16,1007,FALSE,0
English,L5_correlated_maximal,primary,ceiling_calibrated,50,20,1,0.8,-0.5,-0.2,TRUE,5000,2000,16,1008,FALSE,0
English,L5_correlated_maximal,literature_centred,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1009,FALSE,0
English,L5_correlated_maximal,literature_centred,broad,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1010,FALSE,0
English,L5_correlated_maximal,weak,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1011,FALSE,0
English,L5_correlated_maximal,weak,broad,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1012,FALSE,0
English,L5_correlated_maximal,heavy_tailed,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1013,FALSE,0
English,L5_correlated_maximal,heavy_tailed,broad,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1014,FALSE,0
English,L4_uncorrelated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1015,FALSE,0
English,L4_uncorrelated_maximal,primary,broad,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1016,FALSE,0
English,L3_no_participant_interaction_slope,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1017,FALSE,0
English,L3_no_participant_interaction_slope,primary,broad,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1018,FALSE,0
English,L2_sentence_type_slopes_only,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1019,FALSE,0
English,L2_sentence_type_slopes_only,primary,broad,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1020,FALSE,0
Turkish,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,2001,FALSE,0
Turkish,L5_correlated_maximal,primary,broad,40,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,2002,FALSE,0
Turkish,L5_correlated_maximal,primary,broad,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,2003,FALSE,0
Turkish,L5_correlated_maximal,primary,ceiling_calibrated,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,2004,FALSE,0
Turkish,L5_correlated_maximal,primary,ceiling_calibrated,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,2005,FALSE,0
Turkish,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,-0.2,TRUE,5000,2000,16,2006,FALSE,0
Turkish,L5_correlated_maximal,primary,broad,50,20,1,0.8,-0.5,-0.2,TRUE,5000,2000,16,2007,FALSE,0
Turkish,L5_correlated_maximal,literature_centred,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,2008,FALSE,0
Turkish,L5_correlated_maximal,literature_centred,ceiling_calibrated,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,2009,FALSE,0
Turkish,L5_correlated_maximal,weak,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,2010,FALSE,0
Turkish,L4_uncorrelated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,2011,FALSE,0
Turkish,L4_uncorrelated_maximal,primary,ceiling_calibrated,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,2012,FALSE,0
Turkish,L3_no_participant_interaction_slope,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,2013,FALSE,0
Turkish,L2_sentence_type_slopes_only,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,2014,FALSE,0
Norwegian,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0,FALSE,5000,2000,16,3001,FALSE,0
Norwegian,L5_correlated_maximal,primary,broad,50,20,1,0.8,-0.5,0,FALSE,5000,2000,16,3002,FALSE,0
Norwegian,L5_correlated_maximal,literature_centred,broad,30,20,1,0.8,-0.5,0,FALSE,5000,2000,16,3003,FALSE,0
Norwegian,L4_uncorrelated_maximal,primary,broad,30,20,1,0.8,-0.5,0,FALSE,5000,2000,16,3004,FALSE,0
Norwegian,L2_sentence_type_slopes_only,primary,broad,30,20,1,0.8,-0.5,0,FALSE,5000,2000,16,3005,FALSE,0
AllLanguages,L5_cross_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,9001,FALSE,0
AllLanguages,L5_cross_maximal,primary,broad,40,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,9002,FALSE,0
AllLanguages,L5_cross_maximal,primary,broad,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,9003,FALSE,0
AllLanguages,L5_cross_maximal,primary,broad,60,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,9004,FALSE,0
AllLanguages,L5_cross_maximal,primary,ceiling_calibrated,30,20,1,0.8,-0.5,-0.2,TRUE,5000,2000,16,9005,FALSE,0
AllLanguages,L5_cross_maximal,primary,ceiling_calibrated,50,20,1,0.8,-0.5,-0.2,TRUE,5000,2000,16,9006,FALSE,0
AllLanguages,L5_cross_maximal,literature_centred,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,9007,FALSE,0
AllLanguages,L5_cross_maximal,literature_centred,broad,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,9008,FALSE,0
AllLanguages,L5_cross_maximal,weak,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,9009,FALSE,0
AllLanguages,L5_cross_maximal,weak,broad,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,9010,FALSE,0
AllLanguages,L4_cross_uncorrelated,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,9011,FALSE,0
AllLanguages,L4_cross_uncorrelated,primary,broad,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,9012,FALSE,0
English,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1101,TRUE,0.3
English,L5_correlated_maximal,primary,broad,40,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1102,TRUE,0.3
English,L5_correlated_maximal,primary,broad,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1103,TRUE,0.3
English,L5_correlated_maximal,primary,broad,60,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,1104,TRUE,0.3
Turkish,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,2101,TRUE,0.3
Turkish,L5_correlated_maximal,primary,broad,50,20,1,0.8,-0.5,0.2,TRUE,5000,2000,16,2102,TRUE,0.3
Norwegian,L5_correlated_maximal,primary,broad,30,20,1,0.8,-0.5,0,FALSE,5000,2000,16,3101,TRUE,0.3
Norwegian,L5_correlated_maximal,primary,broad,50,20,1,0.8,-0.5,0,FALSE,5000,2000,16,3102,TRUE,0.3
