language,n_participants,n_verbs,hypothesis,reps,n_conv,p_bf_primary,p_bf_primary_conv,p_bf_secondary,p_convergence_ok,median_bf
English,50,12,H1a_semantics_positive,50,50,0.06,0.06,0.54,1,3.1991478387900347
English,50,12,H1b_active_interaction_negative,50,50,0.18,0.18,0.56,1,3.4304200261891244
English,50,12,H2a_pseudo_positive,50,50,0.12,0.12,0.42,1,2.678684707620615
English,50,12,H2b_pseudo_negative,50,50,0,0,0,1,0.37332679024900683
English,60,12,H1a_semantics_positive,50,50,0.16,0.16,0.66,1,4.5069890735417335
English,60,12,H1b_active_interaction_negative,50,50,0.32,0.32,0.68,1,5.379963524786774
English,60,12,H2a_pseudo_positive,50,50,0.2,0.2,0.44,1,2.4630117154654654
English,60,12,H2b_pseudo_negative,50,50,0,0,0.06,1,0.40611188599384224
English,70,12,H1a_semantics_positive,50,50,0.12,0.12,0.46,1,2.5037443816546636
English,70,12,H1b_active_interaction_negative,50,50,0.3,0.3,0.64,1,3.929600279426702
English,70,12,H2a_pseudo_positive,50,50,0.24,0.24,0.66,1,4.445030157447358
English,70,12,H2b_pseudo_negative,50,50,0,0,0.02,1,0.22502461108544441
English,80,12,H1a_semantics_positive,50,50,0.22,0.22,0.6,1,4.255099872706994
English,80,12,H1b_active_interaction_negative,50,50,0.42,0.42,0.74,1,8.393998218828852
English,80,12,H2a_pseudo_positive,50,50,0.16,0.16,0.58,1,3.656714631692144
English,80,12,H2b_pseudo_negative,50,50,0,0,0.02,1,0.27347481686625136
English,90,12,H1a_semantics_positive,50,50,0.12,0.12,0.62,1,3.728894099479856
English,90,12,H1b_active_interaction_negative,50,50,0.4,0.4,0.8,1,7.7703304225842675
English,90,12,H2a_pseudo_positive,50,50,0.22,0.22,0.58,1,3.9849014871465025
English,90,12,H2b_pseudo_negative,50,50,0.02,0.02,0.04,1,0.2509477799098674
English,100,12,H1a_semantics_positive,50,50,0.2,0.2,0.48,1,2.836039965404108
English,100,12,H1b_active_interaction_negative,50,50,0.4,0.4,0.9,1,8.512539881060606
English,100,12,H2a_pseudo_positive,50,50,0.24,0.24,0.6,1,4.126831880616268
English,100,12,H2b_pseudo_negative,50,50,0,0,0.02,1,0.24239637885232512
English,50,20,H1a_semantics_positive,50,49,0.42,0.40816326530612246,0.8,0.98,7.620950086053309
English,50,20,H1b_active_interaction_negative,50,49,0.38,0.3673469387755102,0.66,0.98,6.644628589395632
English,50,20,H2a_pseudo_positive,50,49,0.34,0.3469387755102041,0.58,0.98,4.148374174289872
English,50,20,H2b_pseudo_negative,50,49,0,0,0.02,0.98,0.24105840897807393
English,60,20,H1a_semantics_positive,50,50,0.4,0.4,0.78,1,6.099230353619468
English,60,20,H1b_active_interaction_negative,50,50,0.6,0.6,0.88,1,14.883611124247096
English,60,20,H2a_pseudo_positive,50,50,0.3,0.3,0.6,1,3.6714009919487767
English,60,20,H2b_pseudo_negative,50,50,0,0,0,1,0.27242472418744834
English,70,20,H1a_semantics_positive,50,50,0.36,0.36,0.78,1,7.080054310928924
English,70,20,H1b_active_interaction_negative,50,50,0.64,0.64,0.86,1,21.195697264229587
English,70,20,H2a_pseudo_positive,50,50,0.42,0.42,0.68,1,6.583856597384829
English,70,20,H2b_pseudo_negative,50,50,0,0,0,1,0.15189255265278118
English,80,20,H1a_semantics_positive,50,50,0.46,0.46,0.78,1,8.750549144882754
English,80,20,H1b_active_interaction_negative,50,50,0.56,0.56,0.9,1,14.342873608446464
English,80,20,H2a_pseudo_positive,50,50,0.46,0.46,0.84,1,7.4436792306139745
English,80,20,H2b_pseudo_negative,50,50,0,0,0,1,0.13472501082169686
English,90,20,H1a_semantics_positive,50,50,0.5,0.5,0.72,1,9.606019743064472
English,90,20,H1b_active_interaction_negative,50,50,0.74,0.74,0.92,1,39.7568898410522
English,90,20,H2a_pseudo_positive,50,50,0.24,0.24,0.68,1,5.719404211361165
English,90,20,H2b_pseudo_negative,50,50,0,0,0,1,0.17486090575286975
English,100,20,H1a_semantics_positive,10,10,0.3,0.3,0.5,1,5.846757808981889
English,100,20,H1b_active_interaction_negative,10,10,0.7,0.7,1,1,12.6297669176095
English,100,20,H2a_pseudo_positive,10,10,0.4,0.4,0.7,1,4.452507023684693
English,100,20,H2b_pseudo_negative,10,10,0,0,0,1,0.23782193839708365
English,50,40,H1a_semantics_positive,50,50,0.74,0.74,0.96,1,27.870689635984323
English,50,40,H1b_active_interaction_negative,50,50,0.76,0.76,0.88,1,21.491693281032077
English,50,40,H2a_pseudo_positive,50,50,0.46,0.46,0.74,1,7.652132156067923
English,50,40,H2b_pseudo_negative,50,50,0,0,0,1,0.13068274156944829
English,60,40,H1a_semantics_positive,50,50,0.94,0.94,1,1,53.167740991353014
English,60,40,H1b_active_interaction_negative,50,50,0.8,0.8,0.96,1,36.65806502267445
English,60,40,H2a_pseudo_positive,50,50,0.68,0.68,0.94,1,24.698540500339604
English,60,40,H2b_pseudo_negative,50,50,0,0,0,1,0.040548781852366184
English,70,40,H1a_semantics_positive,50,49,0.76,0.7551020408163265,0.98,0.98,31.033531881385372
English,70,40,H1b_active_interaction_negative,50,49,0.86,0.8571428571428571,0.96,0.98,79.74141253940786
English,70,40,H2a_pseudo_positive,50,49,0.6,0.6122448979591837,0.86,0.98,15.892248823525737
English,70,40,H2b_pseudo_negative,50,49,0,0,0.02,0.98,0.06295790076645279
English,80,40,H1a_semantics_positive,50,49,0.8,0.7959183673469388,0.98,0.98,25.791167376607923
English,80,40,H1b_active_interaction_negative,50,49,0.96,0.9591836734693877,0.98,0.98,175.5052825332126
English,80,40,H2a_pseudo_positive,50,49,0.52,0.5306122448979592,0.88,0.98,10.769543267604114
English,80,40,H2b_pseudo_negative,50,49,0,0,0,0.98,0.0931287574923618
English,90,40,H1a_semantics_positive,50,49,0.88,0.8775510204081632,1,0.98,49.3511228801524
English,90,40,H1b_active_interaction_negative,50,49,0.96,0.9591836734693877,1,0.98,508.408746451174
English,90,40,H2a_pseudo_positive,50,49,0.58,0.5918367346938775,0.88,0.98,12.38090730200421
English,90,40,H2b_pseudo_negative,50,49,0,0,0,0.98,0.0808325425155004
English,50,72,H1a_semantics_positive,50,46,0.98,0.9782608695652174,1,0.92,762.5307043531802
English,50,72,H1b_active_interaction_negative,50,46,0.98,0.9782608695652174,1,0.92,859.4752902931881
English,50,72,H2a_pseudo_positive,50,46,0.58,0.5869565217391305,0.84,0.92,14.985018129941391
English,50,72,H2b_pseudo_negative,50,46,0,0,0,0.92,0.06673408043739988
English,60,72,H1a_semantics_positive,50,45,1,1,1,0.9,1570.08334124049
English,60,72,H1b_active_interaction_negative,50,45,0.98,0.9777777777777777,1,0.9,1244.7891276780442
English,60,72,H2a_pseudo_positive,50,45,0.72,0.7333333333333333,0.92,0.9,19.19054665444873
English,60,72,H2b_pseudo_negative,50,45,0,0,0.02,0.9,0.05217691925493796
English,70,72,H1a_semantics_positive,50,42,0.98,0.9761904761904762,1,0.84,579.3462019001468
English,70,72,H1b_active_interaction_negative,50,42,0.98,0.9761904761904762,1,0.84,5883.918445535632
English,70,72,H2a_pseudo_positive,50,42,0.6,0.5714285714285714,0.86,0.84,15.317582767187746
English,70,72,H2b_pseudo_negative,50,42,0,0,0,0.84,0.06561609183671475
English,80,72,H1a_semantics_positive,50,41,0.96,0.975609756097561,1,0.82,712.5278594443686
English,80,72,H1b_active_interaction_negative,50,41,1,1,1,0.82,7815.172216570464
English,80,72,H2a_pseudo_positive,50,41,0.78,0.7317073170731707,0.94,0.82,54.748974290133766
English,80,72,H2b_pseudo_negative,50,41,0,0,0.02,0.82,0.018290543107150038
English,90,72,H1a_semantics_positive,50,41,1,1,1,0.82,1762.127033475862
English,90,72,H1b_active_interaction_negative,50,41,1,1,1,0.82,975551.5918876466
English,90,72,H2a_pseudo_positive,50,41,0.8,0.7804878048780488,0.88,0.82,57.99874829921632
English,90,72,H2b_pseudo_negative,50,41,0,0,0,0.82,0.01724479711580653
Turkish,60,12,H1a_semantics_positive,50,50,0.24,0.24,0.56,1,3.2904381337560196
Turkish,60,12,H1b_active_interaction_negative,50,50,0.32,0.32,0.68,1,5.958844766043503
Turkish,60,12,H2a_pseudo_positive,50,50,0.2,0.2,0.6,1,3.641157598388756
Turkish,60,12,H2b_pseudo_negative,50,50,0,0,0.02,1,0.2751601143471091
Turkish,70,12,H1a_semantics_positive,7,7,0,0,0.5714285714285714,1,3.5628055977069626
Turkish,70,12,H1b_active_interaction_negative,7,7,0.14285714285714285,0.14285714285714285,0.8571428571428571,1,6.467326696233048
Turkish,70,12,H2a_pseudo_positive,7,7,0.14285714285714285,0.14285714285714285,0.7142857142857143,1,5.088801027788595
Turkish,70,12,H2b_pseudo_negative,7,7,0,0,0.14285714285714285,1,0.19650994301786698
Turkish,60,20,H1a_semantics_positive,50,49,0.48,0.46938775510204084,0.82,0.98,8.310044529591856
Turkish,60,20,H1b_active_interaction_negative,50,49,0.58,0.5918367346938775,0.82,0.98,13.295286880783234
Turkish,60,20,H2a_pseudo_positive,50,49,0.28,0.2653061224489796,0.64,0.98,5.11035132194122
Turkish,60,20,H2b_pseudo_negative,50,49,0,0,0.02,0.98,0.1959554912578367
Turkish,50,40,H1a_semantics_positive,10,10,0.7,0.7,1,1,129.59563429229536
Turkish,50,40,H1b_active_interaction_negative,10,10,0.8,0.8,1,1,210.68641236299302
Turkish,50,40,H2a_pseudo_positive,10,10,0.1,0.1,0.6,1,3.479569060081406
Turkish,50,40,H2b_pseudo_negative,10,10,0,0,0,1,0.2910923420234165
Turkish,60,40,H1a_semantics_positive,50,50,0.74,0.74,0.9,1,72.5127011853359
Turkish,60,40,H1b_active_interaction_negative,50,50,0.86,0.86,0.96,1,78.6485356999992
Turkish,60,40,H2a_pseudo_positive,50,50,0.54,0.54,0.74,1,11.25036063331229
Turkish,60,40,H2b_pseudo_negative,50,50,0.02,0.02,0.02,1,0.08891916500893145
Turkish,50,72,H1a_semantics_positive,50,45,0.96,0.9555555555555556,0.98,0.9,1805.5575518311475
Turkish,50,72,H1b_active_interaction_negative,50,45,0.96,0.9555555555555556,1,0.9,875.6351084812702
Turkish,50,72,H2a_pseudo_positive,50,45,0.58,0.6222222222222222,0.86,0.9,15.677569689471671
Turkish,50,72,H2b_pseudo_negative,50,45,0,0,0,0.9,0.06425014036599802
Turkish,60,72,H1a_semantics_positive,50,47,1,1,1,0.94,475.5557276006733
Turkish,60,72,H1b_active_interaction_negative,50,47,0.96,0.9574468085106383,1,0.94,1007.5783364974368
Turkish,60,72,H2a_pseudo_positive,50,47,0.62,0.6382978723404256,0.92,0.94,20.603353541320715
Turkish,60,72,H2b_pseudo_negative,50,47,0,0,0,0.94,0.048554800670643175
